id,appearances,team,goals,from,to
P-06687,None,Olympic Club,None,1987,1988
P-06687,None,Al Ahly,None,1988,1995
P-06687,None,Zamalek SC,None,1995,1995
P-06687,None,Al Wehda FC,None,1995,1997
P-08180,None,Kano Pillars,None,2012,2014
P-08180,7,Qadsia,1,2014,2015
P-08180,28,União da Madeira,1,2015,2016
P-08180,48,Anorthosis,3,2016,2018
P-08180,60,Bursaspor,5,2018,2020
P-08180,50,Omonia,0,2020,2022
P-08180,8,Levski Sofia,0,2022,None
P-08180,9,Kano Pillars,0,2024,None
P-04364,14,LA Blues,0,2011,2012
P-04364,0,Persepolis,0,2012,2014
P-04364,9,Rah Ahan,0,2014,2015
P-04364,0,Barreirense,0,2016,2017
P-04364,75,Marítimo,0,2017,2021
P-04364,65,Ponferradina,0,2021,2023
P-04364,17,Marítimo,0,2023,2024
P-04364,7,Castellón,0,2024,None
P-08688,87,Independiente,30,1955,1962
P-08688,2,Boca Juniors,0,1964,None
P-08688,None,Peñarol,None,1964,None
P-00061,15,Coton Sport,7,2009,2010
P-00061,72,Valenciennes,9,2010,2013
P-00061,37,Lorient,17,2013,2014
P-00061,83,Porto,36,2014,2020
P-00061,27,→Beşiktaş(loan),12,2016,2017
P-00061,26,Beşiktaş,15,2020,2021
P-00061,34,Al Nassr,12,2021,2023
P-00061,38,Beşiktaş,18,2023,2024
P-00061,25,Hatayspor,7,2024,2025
P-00061,16,Neftçi,7,2025,None
P-07032,None,Wydad Casablanca,None,1989,1998
P-07032,39,Gençlerbirliği,3,1998,2000
P-07032,42,Wydad Casablanca,2,2000,2003
P-07032,None,Al-Wakrah,None,2003,2004
P-07032,None,Wydad Casablanca,None,2004,2005
P-07032,None,IR Tanger,None,2005,2007
P-05355,113,Ferro Carril Oeste,5,2010,2014
P-05355,78,Racing Club,16,2014,2017
P-05355,85,Sporting CP,7,2017,2020
P-05355,112,Sevilla,6,2020,2024
P-05355,37,River Plate,1,2024,None
P-08988,None,Anderlecht,None,1921,1933
P-05758,69,Harrow Borough,14,2006,2008
P-05758,112,Barnet,19,2008,2010
P-05758,131,Bristol City,17,2010,2013
P-05758,130,Middlesbrough,23,2013,2016
P-05758,113,Aston Villa,21,2016,2019
P-05758,24,Nottingham Forest,2,2019,2020
P-05758,9,→Cardiff City(loan),0,2020,None
P-05758,121,Queens Park Rangers,6,2020,2024
P-05758,87,Walsall,10,2024,None
P-08418,31,Juan Aurich,1,2009,2010
P-08418,91,Sporting Cristal,8,2010,2012
P-08418,0,Tavriya Simferopol,0,2012,2013
P-08418,9,→Sporting Cristal(loan),0,2012,None
P-08418,2,TSG Hoffenheim,0,2013,2015
P-08418,4,→Ponte Preta(loan),0,2013,None
P-08418,10,→Sporting Cristal(loan),2,2014,None
P-08418,26,→Vitória Setúbal(loan),0,2014,2015
P-08418,12,Bursaspor,0,2015,2016
P-08418,29,→Newell's Old Boys(loan),1,2016,None
P-08418,9,Tigres UANL,0,2017,2019
P-08418,19,→Lobos BUAP(loan),2,2017,2018
P-08418,28,→Rayo Vallecano(loan),1,2018,2019
P-08418,72,Rayo Vallecano,2,2019,2021
P-08418,123,Boca Juniors,2,2021,2025
P-08418,0,Alianza Lima,0,2026,None
P-09997,None,Olimpia,None,1955,1958
P-09997,116,Sevilla FC,32,1958,1965
P-09997,5,Real Madrid,1,1965,1966
P-09997,13,Granada CF,1,1966,1967
P-04538,None,Heart of Lions,0,2008,2010
P-04538,32,Hapoel Ashkelon,0,2010,2011
P-04538,None,Heart of Lions,0,2011,None
P-04538,None,Medeama S.C.,0,2011,2012
P-04538,None,→Wassaman United(loan),0,2012,None
P-04538,5,Heart of Lions,0,2012,2024
P-04538,None,None,None,None,None
P-01832,33,Nancy,1,2015,2016
P-01832,13,Monaco,0,2016,2021
P-01832,26,→Nancy(loan),3,2016,2017
P-01832,27,→Caen(loan),0,2017,2018
P-01832,13,→Saint-Étienne(loan),0,2019,None
P-01832,12,→Bordeaux(loan),0,2019,2020
P-01832,45,Adanaspor,3,2021,2023
P-01832,58,Samsunspor,2,2023,2025
P-01832,18,Kayserispor,0,2025,None
P-07871,18,FC Winterthur II,0,2013,2014
P-07871,35,FC Winterthur,1,2014,2015
P-07871,4,FC Basel II,0,2015,2016
P-07871,42,FC Basel,5,2015,2018
P-07871,119,Borussia Dortmund,4,2018,2022
P-07871,85,Manchester City,2,2022,None
P-07871,33,→Inter Milan(loan),2,2025,None
P-01613,328,Fenerbahçe,None,1951,1961
P-01613,None,Karagümrükspor,None,1961,1962
P-09250,615,CSKA Moscow,0,2003,None
P-05826,121,Toulouse,5,2011,2017
P-05826,58,Salernitana,2,2018,2020
P-05826,42,Lazio,0,2020,2025
P-05826,24,→Empoli(loan),1,2022,2023
P-05826,19,→Monza(loan),0,2023,2024
P-05826,14,→Monza(loan),0,2025,None
P-05826,11,Hellas Verona,1,2025,None
P-08579,188,Al-Hilal,6,2014,2024
P-08579,13,→Al-Raed(loan),0,2015,None
P-08579,12,Neom,1,2024,None
P-05231,None,Al-Amal,None,2011,2014
P-05231,None,Al-Nahda,None,2014,2015
P-05231,47,Al-Fateh,1,2015,2017
P-05231,165,Al Hilal,17,2017,None
P-05231,14,→Al-Shabab(loan),2,2026,None
P-03366,302,Al Hilal,88,2011,None
P-03366,1,→Villarreal(loan),0,2018,None
